STRINGCODE;CAS;KEGG;IAFMODEL;UMBBD;NAME
C(H2)(C(H)(C(H)(C(H)(C(H2)(C(H)(C(H)(C(C(HO(H))(){3}C(C(H)(C(H)(C(H)(C(H)(C(N(C(H3))(){7}){9})))))<9>){1})<7>N(C(H2)(C(C(HC(H3)))(){4})){2})))<4>)<3>)<2>)<1>;509-38-6;C12075;None;None;Tetraphyllicine|NSC72114
C(H2)(C(C(O(H))(C(HO(H))(C(H2)(C(HC(H3))(C(C(H2)(C(H)(C(O(H)C(H3))(){2}O(C(O)(C(H2)(){7})))))<7>{3}))))<3>C(O)(O(){1}))<2>)<1>;None;C12076;None;None;Deoxyanisatin
C(H2)(C(H2)(C(C(H3))(C(H)(C(H2)(C(H2)(C(C(H)(C(C(HC(H3)C(H3)))(C(H2)(C(H2)(C(){3,7})))))<7>))C(C(O(H)O)C(H3))(C(H2)(){1})))<3>))<1>;1945-53-5;C12077;None;None;Palustric acid|NSC148945|8,13-Abietadien-18-oicacid
C(H2)(C(H2)(C(C(H3))(C(H)(C(H2)(C(H2)(C(C(H)(C(C(HC(H3)C(H3)))(C(H)(C(H)(C(){3,7})))))<7>))C(C(O(H)O)C(H3))(C(H2)(){1})))<3>))<1>;1740-19-8;C12078;None;None;Dehydroabietic acid|(-)-Dehydroabieticacid|13-Isopropylpodocarpa-8,11,13-trien-15-oicacid|Abieta-8,11,13-trien-18-oicacid|Dehydroabietate
C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1}))))O(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){3})))))<3>))<1>;None;C12079;None;None;alpha-Arbutin
C(C(H3)C(H3))(C(C(H)(C(O(H))(C(C(C(C(C(C(O(H))(C(H)(C(O(H))(C(C(O)(){1}){8})))C(O)(C(C(O(H))(C(H)(C(C(H3))(){5}))){6})))<8>){2})<6>)<5>)))<2>)<1>;20004-62-0;C12080;None;None;Resistomycin
###############################################################################################################################################################################################################################################################;55319-36-3;C12081;None;None;Soyasaponin II
C(H)(C(H)(O(C(H)(C(HO(H))(C(HO(H))(C(HC(O(H)O))(O(C(HO(H))(){4})))))<4>)O(C(HC(H2O(H)))(C(HO(H))(C(HO(H))(){1}))))O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H3))(O(){3})))))<3>))<1>;None;C12082;None;None;alpha-L-Rhamnopyranosyl-(1->2)-beta-D-galactopyranosyl-(1->2)-beta-
C(HC(HC(HC(HC(HC(HC(H2C(H2C(H2C(O(H)O)))))))))C(H2C(H2C(H2C(HC(HC(H2C(HC(HC(H2C(H3)))))))))));None;C12083;None;None;(5Z,7E,9E,14Z,17Z)-Eicosapentaenoic acid|(5Z,7E,9E,14Z,17Z)-Eicosapentaenoate
C(H)(C(H)(C(C(H)(C(O(H))(C(H)(C(O)(O(){3})))))<3>)C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){2})))))<2>);13709-27-8;C12085;None;None;Bis-noryangonin
C(H2)(C(C(H)(C(O(H))(C(H)(C(O)(O(){2})))))<2>C(O)(C(H)(C(H)(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){5})))))<5>))));None;C12087;None;None;p-Coumaroyltriacetic acid lactone
C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(HC(HC(OC(H3)))))(){1})))))<1>;3160-35-8;C12088;None;None;4-Hydroxycinnamoylmethane|p-Hydroxybenzalacetone|4-(p-Hydroxyphenyl)-3-buten-2-one
C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(HC(HC(OC(H2C(S(C(H2C(H2N(HC(OC(H3))))))O))))))(){1})))))<1>;None;C12089;None;None;NAC-Diketide
C(H)(C(H)(C(C(H)(C(O(H))(C(C(H3))(C(O)(O(){3})))))<3>)C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){2})))))<2>);None;C12090;None;None;Methylstyrylpyron
###############################################################################################################################################################################################################################################################;11005-70-2;C12091;None;None;Cerberoside
C(H)(C(H)(C(H)(C(N(HC(H3)))(C(C(S(CoA)O))(C(H)(){1})))))<1>;None;C12092;None;None;N-Methylanthraniloyl-CoA
C(H)(C(H)(C(H)(C(C(C(H)(){1}C(O)(C(C(C(H)(C(O(H))(C(H)(C(O(H))(){7})))N(C(H3))(){4}))<7>)))<4>)))<1>;None;C12093;None;None;1,3-Dihydroxy-N-methyl-acridone
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(H)(O(C(C(H)(C(C(C(H)(C(O(H))(C(H)(C(O(H))(){10})))O[+1](C(C(C(H)(C(H)(C(O(H))(C(O(H))(C(H)(){14})))))<14>){8})))<10>))<8>)O(){2})))))<2>O(C(O)(C(H)(C(H)(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){6})))))<6>)))));None;C12095;None;None;Cyanidin 3-O-(6-O-p-coumaroyl)glucoside
###############################################################################################################################################################################################################################################################;None;C12096;None;None;Cyanidin 3-O-(6-O-p-coumaroyl)glucoside-5-O-glucoside
###############################################################################################################################################################################################################################################################;80111-47-3;C12098;None;None;Ansatrienin A
C(H2)(C(H2)(C(O)(C(C(O(H))(){1}N(H)(C(O)(C(H)(C(H)(C(H)(C(H)(C(H)(C(H)(C(O(H))(C(H)(C(H)(C(O)(C(C(H)(){13}N(H)(C(O)(C(H)(C(H)(C(H)(C(H)(C(H)(C(H)(C(H)(C(H2)(C(H2)(C(H2)(C(H2)(C(H2)(){26})))))<26>))))))))))O(){14}))<14>)<13>))))))))))))<1>;61116-33-4;C12099;None;None;Asukamycin
C(H2)(C(H2)(C(H2)(C(HC(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(O(H)O))))))))))))(C(H2)(C(H2)(){1})))))<1>;4277-62-7;C12100;None;None;omega-Cyclohexylundecanoic acid|Cyclohexaneundecanoicacid
C(H2)(C(H2)(C(H2)(C(C(O(H)O))(C(H)(C(H2)(){1})))))<1>;636-82-8;C12101;None;None;Cyclohex-1-enecarboxylic acid|1-Cyclohexenecarboxylicacid|1-Cyclohexene-1-carboxylicacid
###############################################################################################################################################################################################################################################################;104987-12-4;C12102;None;None;FK520|Ascomycin
C(H2)(C(H2)(C(H2)(C(H2)(C(HC(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(O(H)O))))))))))))(C(H2)(C(H2)(){1}))))))<1>;None;C12103;None;None;omega-Cycloheptylundecanoic acid
C(H2)(C(H2)(C(H2)(C(H2)(C(HC(O(H)O))(C(H2)(C(H2)(){1}))))))<1>;1460-16-8;C12104;None;None;Cycloheptanecarboxylic acid|Cycloheptanoicacid
C(H)(C(H)(C(O(H))(C(C(C(S)(C(H)(){1})S(O(C(O)(){4}))))<4>)))<1>;89550-93-6;C12105;None;None;Thiotropocin
C(HO(H)C(O(H)N(H2)C(H2C(OC(O(H)O))))C(HO(H)C(H2O(P(O(H)O(H)O)))));None;C12106;None;None;AminoDAHP
C(H)(C(C(O(H)O))(C(H)(C(O(H))(C(H)(C(N(H2))(){1})))))<1>;76045-71-1;C12107;None;None;AHBA|3-Amino-5-hydroxybenzoicacid|3-Ahba
C(H2)(C(HN(H2))(C(HO(H))(C(O)(C(H)(C(C(O(H)O))(){1})))))<1>;None;C12108;None;None;AminoDHS|5-Deoxy-5-amino-3-dehydroshikimicacid
C(H2)(C(HN(H2))(C(HO(H))(C(O)(C(H2)(C(O(H)C(O(H)O))(){1})))))<1>;None;C12109;None;None;AminoDHQ|5-Deoxy-5-amino-3-dehydroquinicacid
C(H2)(C(HN(H2))(C(H)(C(H)(C(H)(C(C(O(H)O))(){1})))))<1>;87980-11-8;C12110;None;None;Gabaculine|3-Amino-2,3-dihydrobenzoicacid
C(H2)(C(H2)(C(O)(C(C(O(H))(){1}N(H)(C(O)(C(H)(C(H)(C(H)(C(H)(C(H)(C(H)(C(O(H))(C(H)(C(H)(C(O)(C(N(HC(OC(C(HC(C(HC(HC(H3)C(H2C(H2C(H2C(H3))))))C(H3)))C(H3)))))(C(H)(){13}))O(){14}))<14>)<13>))))))))))))<1>;52665-74-4;C12111;None;None;Manumycin A|Manumycin
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(C(HC(H2O(H)))(){1}O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>))))N(H)(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(C(H2O(H)))(C(H)(){4})))))<4>)))<1>;37248-47-8;C12112;None;None;Validamycin A|Validacin|Validamycin|Valimon
C(H2)(C(O(H)C(H2O(H)))(C(HO(H))(C(HO(H))(C(HO(H))(C(O)(){1})))))<1>;None;C12113;None;None;Valiolone
C(H)(C(H)(C(O(H))(C(N(O))(C(H)(C(C(ON(H2)))(){1})))))<1>;None;C12114;None;None;4-Hydroxy-3-nitrosobenzamide
C(H)(C(H)(C(O(H))(C(N(H2))(C(H)(C(C(O(H)O))(){1})))))<1>;1571-72-8;C12115;None;None;3-Amino-4-hydroxybenzoic acid|3,4-AHBA
C(HC(H3))(C(C(H)(C(H)(C(H)(C(C(N(C(C(H)(C(H)(C(H)(C(C(O(H)O))(C(N(H)(){6}){9})))))<9>C(C(H)(C(C(O(H)O))(C(C(C(){1,9}N(C(C(C(H)(C(H)(C(H)(C(C(HO(H)C(H3)))(){15})))N(){12}))<15>)))<12>)))<9>)){2})<6>))))<2>)<1>;None;C12116;None;None;Esmeraldic acid
C(H)(C(H)(C(C(C(C(O(H)O))(C(H)(){1})N(C(C(H)(C(H)(C(H)(C(C(HO(H)C(H3)))(C(N(){3}){6})))))<6>)))<3>))<1>;None;C12117;None;None;Saphenic acid
C(H)(C(H)(C(C(C(C(O(C(H3))O))(C(H)(){1})N(C(C(H)(C(H)(C(H)(C(C(HO(H)C(H3)))(C(N(){3}){6})))))<6>)))<3>))<1>;None;C12118;None;None;Saphenic acid methyl ester
C(H)(C(H)(C(C(C(C(O(H)O))(C(H)(){1})N(C(C(H)(C(H)(C(H)(C(C(O(H)O))(C(N(){3}){6})))))<6>)))<3>))<1>;23462-25-1;C12119;None;None;Phenazine-1,6-dicarboxylic acid|Phenazine-1,6-dicarboxylate
C(H)(C(H)(C(C(C(C(O(H)O))(C(H)(){1})N(C(C(H)(C(H)(C(H)(C(C(OC(H3)))(C(N(){3}){6})))))<6>)))<3>))<1>;None;C12120;None;None;6-Acetophenazine-1-carboxylic acid|6-Acetylphenazine-1-carboxylicacid
C(H2)(C(HN(H2))(C(HO(H))(C(HO(H))(C(H)(C(C(O(H)O))(){1})))))<1>;None;C12121;None;None;5-Deoxy-5-aminoshikimic acid
C(H2)(C(H2)(C(C(C(H)(C(O(H))(C(H)(C(O(H))(){3})))O(C(H)(C(C(H)(C(H)(C(O(H))(C(O(H))(C(H)(){7})))))<7>){1})))<3>))<1>;None;C12122;None;None;Luteoliflavan
C(H)(C(H)(C(O(H))(C(H)(C(C(C(O)(C(H)(C(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){10})))))<10>O(){5})))){1})<5>))))<1>;None;C12123;None;None;7,4'-Dihydroxyflavone
C(H2)(C(H)(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){3})))))<3>O(C(C(H)(C(O(H))(C(H)(C(O(H))(C(C(HO(H))(){1}){4})))))<4>)))<1>;None;C12124;None;None;Apiforol
C(H)(C(H)(C(O(C(H3)))(C(H)(C(C(C(O)(C(C(H)(O(){5})C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){9})))))<9>))){1})<5>))))<1>;None;C12125;None;None;Isoformononetin
(C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))C(H2C(H2C(H2C(H2C(H2C(HO(H)C(HN(HC(RO))C(H2O(H))))))))));None;C12126;None;None;Dihydroceramide|N-Acylsphinganine
C(H2)(C(HO(H))(C(H)(C(C(H)(C(O(H))(C(O(H))(C(O(H))(C(H)(){4})))))<4>O(C(C(H)(C(O(H))(C(H)(C(O(H))(C(){1,5})))))<5>))))<1>;970-73-0;C12127;None;None;(+)-Gallocatechin
C(H2)(C(HO(H))(C(H)(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){4})))))<4>O(C(C(H)(C(O(H))(C(H)(C(O(H))(C(){1,5})))))<5>))))<1>;None;C12128;None;None;(-)-Epiafzelechin|epi-Afzelechin
###############################################################################################################################################################################################################################################################;None;C12129;None;None;Anemone purple anthocyanin 1
###############################################################################################################################################################################################################################################################;None;C12130;None;None;Anemone blue anthocyanin 1
###############################################################################################################################################################################################################################################################;None;C12131;None;None;Anemone blue anthocyanin 2
###############################################################################################################################################################################################################################################################;None;C12132;None;None;Anemone blue anthocyanin 3
###############################################################################################################################################################################################################################################################;None;C12133;None;None;Anemone blue anthocyanin 4
C(H)(C(H)(C(O(H))(C(H)(C(O(H))(C(C(C(H)(O(C(C(H)(C(O(H))(C(H)(C(O(H))(C(C(O)(){7}){10})))))<10>)))<7>){1})))))<1>;None;C12134;None;None;2'-Hydroxygenistein
C(H)(C(H)(C(O(C(H3)))(C(H)(C(O(H))(C(C(C(H)(O(C(C(H)(C(O(H))(C(H)(C(O(H))(C(C(O)(){7}){10})))))<10>)))<7>){1})))))<1>;None;C12135;None;None;2'-Hydroxybiochanin A|Dehydroferreirin
C(H2)(C(HO(H))(C(H)(C(C(H)(C(O(H))(C(O(H))(C(O(H))(C(H)(){4})))))<4>O(C(C(H)(C(O(H))(C(H)(C(O(H))(C(){1,5})))))<5>))))<1>;970-74-1;C12136;None;None;(-)-Epigallocatechin
C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1}))))O(C(C(H)(C(C(C(H)(C(O(H))(C(H)(C(O(H))(){5})))O[+1](C(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){9})))))<9>){3})))<5>))<3>))<1>;18466-51-8;C12137;None;None;Pelargonidin 3-O-glucoside|Pelargonidin3-glucoside
C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1}))))O(C(C(H)(C(C(C(H)(C(O(H))(C(H)(C(O(H))(){5})))O[+1](C(C(C(H)(C(O(H))(C(O(H))(C(O(H))(C(H)(){9})))))<9>){3})))<5>))<3>))<1>;6906-38-3;C12138;None;None;Delphinidin 3-O-glucoside|Mirtillin|Delphinidin3-glucoside
C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1}))))O(C(C(H)(C(C(C(H)(C(O(H))(C(H)(C(O(H))(){5})))O[+1](C(C(C(H)(C(O(C(H3)))(C(O(H))(C(O(H))(C(H)(){9})))))<9>){3})))<5>))<3>))<1>;6988-81-4;C12139;None;None;Petunidin 3-O-glucoside|Petunidin3-glucoside
C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1}))))O(C(C(H)(C(C(C(H)(C(O(H))(C(H)(C(O(H))(){5})))O[+1](C(C(C(H)(C(O(C(H3)))(C(O(H))(C(O(C(H3)))(C(H)(){9})))))<9>){3})))<5>))<3>))<1>;7228-78-6;C12140;None;None;Malvidin 3-O-glucoside|Enin|Malvidin-3-glucoside
C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){1}))))O(C(C(H)(C(C(C(H)(C(O(H))(C(H)(C(O(H))(){5})))O[+1](C(C(C(H)(C(H)(C(O(H))(C(O(C(H3)))(C(H)(){9})))))<9>){3})))<5>))<3>))<1>;None;C12141;None;None;Peonidin 3-O-glucoside|Peonidin-3-glucoside
C(H2)(C(H2)(C(C(H2)(C(HC(C(H3)C(H2)))(){1})C(HC(H3))(C(H2)(C(H2)(C(H)(C(C(H3))(){3})))))<3>))<1>;None;C12142;None;None;Vetispiradiene
C(H)(C(H)(C(H)(C(C(C(H)(){1}N(H)(C(C(H)(C(H)(C(N(H2))(C(H)(C(C(O)(){4}){7})))))<7>)))<4>)))<1>;27918-14-5;C12143;None;None;2-Aminoacridone|AMAC
C(H2C(H2C(H2C(H2C(H2C(HO(H)C(HO(H)C(HN(H2)C(H2O(H)))))))))C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))));554-62-1;C12144;None;None;Phytosphingosine|4-D-Hydroxysphinganine
(C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))C(H2C(H2C(H2C(H2C(HO(H)C(HO(H)C(HN(HC(RO))C(H2O(H))))))))));None;C12145;None;None;Phytoceramide|CeramideII|N-Acyl-4-hydroxysphinganine
None;;C12146;None;None;C12146|C26-CoA|
C(HO(P(O(H)O(H)O))C(HN(H2)C(O(H)O))C(H3));None;C12147;thrp;None;L-Threonine O-3-phosphate|L-Threoninephosphate
C(H)(C(O(C(H3)))(C(C(C(O(H))(C(O(C(H3)))(){1})O(C(C(H2C(H2C(HC(HO(C(H3))C(HC(HO(C(H3))C(HC(HC(HC(HC(C(HC(H3))C(H3)))))))C(H3)))C(H3)))))(C(C(H3))(C(O)(){3})))))<3>))<1>;91682-96-1;C12148;None;None;Stigmatellin A|Stigmatellin
C(H)(C(C(C(O(H))(C(H)(C(O(H))(){1}))C(O)(C(C(H3))(C(C(H2C(H2C(HC(HO(C(H3))C(HC(HO(C(H3))C(HC(HC(HC(HC(C(HC(H3))C(H3)))))))C(H3)))C(H3)))))(O(){2})))))<2>)<1>;None;C12149;None;None;Stigmatellin X
C(H)(C(C(C(O(C(H3)))(C(H)(C(O(H))(){1}))C(O)(C(C(H3))(C(C(H2C(H2C(HC(HO(C(H3))C(HC(HO(C(H3))C(HC(HC(HC(HC(C(HC(H3))C(H3)))))))C(H3)))C(H3)))))(O(){2})))))<2>)<1>;None;C12150;None;None;Stigmatellin Y
C(H2)(C(H2)(C(HO(C(OC(HC(HC(C(HC(C(HC(HC(HC(C(HC(HO(H)C(HO(H)C(H2C(HO(H)C(H3))))))C(H3)))))C(H3)))C(H3)))))))(C(HC(H3))(C(H2)(C(C(H3))(C(H)(C(H2)(C(HC(HC(H3)C(H2C(C(HC(HC(HO(H)C(H2C(HO(H)C(H3))))C(H3)))C(H3)))))(O(C(O)(C(H2)(){1})))))))))))<1>;None;C12151;None;None;Mycolactone
###############################################################################################################################################################################################################################################################;20283-69-6;C12152;None;None;Niddamycin
C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H)(C(C(H3))(C(H)(C(C(H)(S(C(C(H3))(N(){9}))))<9>))O(C(O)(C(H2)(C(HO(H))(C(C(H3)C(H3))(C(O)(C(HC(H3))(C(HO(H))(C(HC(H3))(C(H2)(){1})))))))))))O(){3}))<3>))<1>;None;C12153;None;None;Epothilone A
C(H2)(C(H2)(C(HC(H3))(C(HO(H))(C(HC(H3))(C(O)(C(C(H3)C(H3))(C(HO(H))(C(H2)(C(O)(O(C(H)(C(H2)(C(H)(C(C(H3))(C(H2)(){1}O(){14}))<14>)C(C(H3))(C(H)(C(C(H)(S(C(C(H3))(N(){15}))))<15>))))))))))))))<1>;152044-54-7;C12154;None;None;Epothilone B
###############################################################################################################################################################################################################################################################;34786-70-4;C12155;None;None;Nystatin A1
###############################################################################################################################################################################################################################################################;62997-67-5;C12156;None;None;Nystatin A3
C(HO(H)C(HC(HC(C(HC(HC(HO(H)C(C(HC(HC(H3)C(H3)))C(H3)))C(H3)))C(H3))))C(H2C(HC(HC(HC(C(ON(HC(HC(H3)C(H2O(H)))))C(H3)))))));None;C12157;None;None;Myxalamid S
(C(HC(HC(C(HC(HC(HO(H)C(C(HC(HC(H3)C(H2C(H3))))C(H3)))C(H3)))C(H3))))C(HC(HC(HC(HC(HC(C(ON(HC(HC(H3)C(H2O(H)))))C(H3))))))));86934-09-0;C12158;None;None;Myxalamid A
C(HC(HC(HC(HC(HC(C(ON(HC(HC(H3)C(H2O(H)))))C(H3))))))C(HC(HC(C(HC(HC(HO(H)C(C(HC(HC(H3)C(H3)))C(H3)))C(H3)))C(H3)))));86934-10-3;C12159;None;None;Myxalamid B
C(HC(HC(HC(HC(HC(C(ON(HC(HC(H3)C(H2O(H)))))C(H3))))))C(HC(HC(C(HC(HC(HO(H)C(C(HC(H2C(H3)))C(H3)))C(H3)))C(H3)))));86934-11-4;C12160;None;None;Myxalamid C
(C(HC(HC(HC(C(HC(HC(HO(H)C(C(HC(H3))C(H3)))C(H3)))C(H3)))))C(HC(HC(HC(HC(C(ON(HC(HC(H3)C(H2O(H)))))C(H3)))))));86934-12-5;C12161;None;None;Myxalamid D
C(H2)(C(H2)(N(C(H2)(C(C(H)(C(C(C(H)(C(C(C(H)(C(H2)(C(HO(H))(C(H)(C(H)(){11})))){3})<11>{1}){5})O(C(H2)(O(){7}))))<7>))<5>))<3>))<1>;None;C12162;None;None;Crinine
C(H2)(C(H2)(N(C(H2)(C(C(C(C(H)(C(H2)(C(HO(H))(C(H)(C(H)(){7})))){3})<7>{1}C(H)(C(C(C(O(C(H3)))(){5}O(C(H2)(O(){8}))))<8>)))<5>))<3>))<1>;7363-25-9;C12163;None;None;Powelline
C(H2)(C(HO(H))(C(C(H)(C(H2)(C(HO(H))(C(H)(C(H)(){3})))N(C(H2)(C(C(H)(C(C(C(H)(C(){7})O(C(H2)(O(){9}))))<9>))<7>)){1}))<3>))<1>;None;C12164;None;None;Hamayne|Bulbispermine
C(H2)(C(HO(H))(C(C(H)(C(H2)(C(HO(C(OC(H3))))(C(H)(C(H)(){3})))N(C(H2)(C(C(H)(C(C(C(H)(C(){7})O(C(H2)(O(){9}))))<9>))<7>)){1}))<3>))<1>;None;C12165;None;None;3-O-Acetylhamayne
C(H2)(C(H2)(N(C(H2)(C(C(H)(C(C(C(H)(C(C(H)(C(H)(C(C(H)(C(HO(H))(C(HO(C(OC(H3))))(){11}))){1}){3})<11>){5})O(C(H2)(O(){7}))))<7>))<5>))<3>))<1>;None;C12166;None;None;1-O-Acetyllycorine
C(H2)(C(H)(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){3})))))<3>C(C(H)(C(O(C(H3)))(C(O(H))(C(H)(C(C(H2)(N(C(H3))(){1})){3})))))<3>))<1>;None;C12167;None;None;Cherylline
C(H2)(C(H2)(N(C(H2)(C(C(C(C(H)(C(H)(C(HO(H))(C(H2)(C(H)(){3,7}))O(){8}))<8>)<7>{1}C(H)(C(C(C(O(C(H3)))(){5}O(C(H2)(O(){8}))))<8>)))<5>))<3>))<1>;None;C12168;None;None;Crinamidine
C(H2)(C(H2)(N(C(H2)(C(C(C(C(H)(C(H2)(C(H2)(C(HO(H))(C(HO(H))(){7})))){3})<7>{1}C(H)(C(C(C(O(C(H3)))(){5}O(C(H2)(O(){8}))))<8>)))<5>))<3>))<1>;None;C12169;None;None;1-Epideacetylbowdensine
C(H2)(C(H2)(N(C(H2)(C(C(H)(C(C(C(H)(C(C(H)(C(H)(C(H)(C(H2)(C(HO(H))(C(HO(H))(){11}))){1}){3})<11>){5})O(C(H2)(O(){7}))))<7>))<5>))<3>))<1>;2030-55-9;C12170;None;None;Zephyranthine
C(H2)(C(H2)(N(C(H2)(C(C(H)(C(C(C(H)(C(C(H)(C(H)(C(H)(C(H2)(C(HO(C(OC(H3))))(C(HO(C(OC(H3))))(){11}))){1}){3})<11>){5})O(C(H2)(O(){7}))))<7>))<5>))<3>))<1>;None;C12171;None;None;1,2-O-Diacetylzephyranthine
C(H2)(C(H)(C(C(HO(H))(C(H2)(N(C(H3))(C(H2)(C(C(H)(C(H)(C(O(C(H3)))(C(C(){3,8}O(){2})))))<8>))))C(H)(C(H)(C(HO(H))(){1})))<3>)<2>)<1>;None;C12172;None;None;11alpha-Hydroxygalanthamine
C(H2)(C(H2)(N(H)(C(H2)(C(C(H)(C(H)(C(O(C(H3)))(C(C(C(C(H)(C(H2)(C(HO(H))(C(H)(C(H)(){11})))O(){9}))<11>{1}){5})<9>))))<5>))))<1>;None;C12173;None;None;Norgalanthamine
C(H2)(C(HO(H))(C(C(H)(C(H2)(C(HO(C(H3)))(C(H)(C(H)(){3})))N(C(HO(H))(C(C(H)(C(C(C(H)(C(){7})O(C(H2)(O(){9}))))<9>))<7>)){1}))<3>))<1>;466-73-9;C12174;None;None;Haemanthidine|Hemanthidine
C(HC(H3))(C(HO(H))(C(HC(H3))(C(H)(C(C(H3))(C(O)(C(C(C(C(HO(H))(C(HC(H3))(C(O(H))(){7}))C(O)(C(C(H)(C(O)(){8})N(H)(C(O)(C(C(H3))(C(H)(C(H)(C(H)(C(HC(H3))(C(HO(H))(C(HC(H3))(C(HO(H))(C(HC(H3))(C(HO(H))(){1})))))))))))))))<8>)<7>))))))<1>;246255-43-6;C12176;None;None;Proansamycin X
C(H2)(C(HO(H))(C(HC(H3))(C(H)(C(C(H3))(C(HO(H))(C(H2)(C(O)(N(H)(C(C(H)(C(C(H2)(C(C(H3))(C(H)(C(H)(C(H)(C(HO(C(H3)))(C(O)(){1}))))))C(H)(C(O(H))(C(H)(){10})))))<10>)))))))))<1>;None;C12177;None;None;Proansamitocin
C(H2)(C(H)(C(C(H)(C(H2)(C(HO(C(H3)))(C(H)(C(H)(){3})))N(C(H3))(){1})C(C(H)(C(C(C(H)(C(C(O(H)O(H))(O(){2})){4})O(C(H2)(O(){6}))))<6>))<4>)<3>)<2>)<1>;None;C12178;None;None;3-Epimacronine
C(H2)(C(O(H))(C(C(H)(C(H2)(C(HO(C(H3)))(C(H)(C(H)(){3})))N(C(H3))(){1})C(C(H)(C(C(C(H)(C(C(H2)(O(){2})){4})O(C(H2)(O(){6}))))<6>))<4>)<3>)<2>)<1>;507-79-9;C12179;None;None;Tazettine
C(H2)(C(H2)(N(C(H2)(C(C(H)(C(O(H))(C(O(C(H3)))(C(H)(C(C(C(H)(C(H2)(C(HO(H))(C(H)(C(H)(){11})))){3})<11>{1}){5})))))<5>))<3>))<1>;None;C12180;None;None;(-)-8-Demethylmaritidine
C(H2)(O(C(C(H)(C(C(C(H)(C(H)(C(H)(C(H)(C(N(HC(H3)))(){6})))))<6>C(C(H2O(H)))(C(H)(C(O(){1}){3})))))<3>))<1>;1805-78-3;C12181;None;None;Ismine
C(H2)(O(C(C(H)(C(C(C(H)(C(O(){1}){3})C(H)(N(C(C(H)(C(H)(C(H)(C(H)(C(){5,9})))))<9>))))<5>))<3>))<1>;224-11-3;C12182;None;None;Trisphaeridine|Trispheridine
C(H2)(C(H2)(N(C(H2)(C(C(H)(C(C(C(H)(C(C(C(H)(C(H2)(C(HO(C(H3)))(C(H)(C(H)(){11})))N(C(H3))(C(O)(C(H)(){3}))))<11>){5})O(C(H2)(O(){7}))))<7>))<5>))<3>)C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){2})))))<2>);None;C12183;None;None;Obliquine
C(H2)(C(H)(C(C(H)(C(H)(C(HO(H))(C(HO(C(H3)))(C(HO(H))(){3}))C(C(H)(C(O(C(H3)))(C(O(C(H3)))(C(H)(C(C(H2)(N(){1,4})){6})))))<6>))<4>)<3>))<1>;None;C12184;None;None;Narcissidine
C(H2)(C(H)(C(C(H)(C(HO(H))(C(HO(H))(C(H2)(C(H)(){3})))N(C(H2)(C(C(H)(C(C(C(H)(C(){2,7})O(C(H2)(O(){9}))))<9>))<7>)){1}))<3>)<2>)<1>;None;C12185;None;None;Nangustine
C(H2)(C(H)(C(C(H)(C(H2)(C(HO(H))(C(HO(H))(C(H)(){3})))N(C(H2)(C(C(H)(C(C(C(H)(C(){2,7})O(C(H2)(O(){9}))))<9>))<7>)){1}))<3>)<2>)<1>;None;C12186;None;None;Pancracine
C(H2)(C(H2)(N(C(H2)(C(C(H)(C(O(C(H3)))(C(O(H))(C(H)(C(C(H)(C(H)(C(C(H)(C(HO(H))(C(HO(H))(){11}))){1}){3})<11>){5})))))<5>))<3>))<1>;29429-03-6;C12187;None;None;Pseudolycorine
